country,coverage,ori,pax
BD,50.0,14,7
BE,100,8,10
BF,7.4074074074074066,27,2
BG,83.33333333333334,12,10
BA,100,4,5
BB,100,1,5
WF,100,2,2
BL,100,1,1
BM,50.0,2,1
BN,100,1,3
BO,64.1025641025641,39,25
BH,100,2,3
BI,33.33333333333333,3,1
BJ,16.666666666666664,6,1
BT,50.0,4,2
JM,83.33333333333334,6,5
BW,23.52941176470588,17,4
WS,100,4,4
BQ,0,3.0,
BR,41.449275362318836,345,143
BS,44.18604651162791,43,19
JE,0,1.0,
BY,85.71428571428571,7,6
BZ,72.22222222222221,18,13
RU,69.34673366834171,199,138
RW,40.0,5,2
RS,100,6,7
TL,12.5,8,1
RE,100,2,2
TM,33.33333333333333,6,2
TJ,100,4,4
RO,100,17,23
GW,50.0,2,1
GU,100,2,5
GT,8.695652173913043,23,2
GR,100,46,54
GQ,100,2,2
GP,50.0,6,3
JP,88.65979381443299,97,86
GY,7.142857142857142,28,2
GG,0,1.0,
GF,42.857142857142854,7,3
GE,75.0,4,3
GD,50.0,2,1
GB,94.35483870967742,124,117
GA,5.263157894736842,38,2
SV,100,1,1
GN,9.090909090909092,11,1
GM,100,1,1
GL,82.35294117647058,17,14
GI,100,1,1
GH,100,5,5
OM,33.33333333333333,18,6
TN,100,12,12
JO,100,4,5
HR,100,9,16
HT,33.33333333333333,6,2
HU,71.42857142857143,7,5
HK,100,1,5
HN,33.33333333333333,27,9
PR,100,12,12
PW,100,1,1
PT,100,26,28
SJ,100,1,1
PY,42.857142857142854,14,6
IQ,50.0,12,6
PA,41.02564102564102,39,16
PF,60.0,50,30
PG,10.60070671378092,283,30
PE,68.88888888888889,45,31
PK,48.38709677419355,62,30
PH,64.17910447761194,67,43
PL,100,19,22
PM,50.0,2,1
ZM,22.727272727272727,22,5
EH,0,3.0,
EE,100,5,6
EG,96.29629629629629,27,26
ZA,28.749999999999996,80,23
EC,64.51612903225806,31,20
IT,100,64,87
VN,77.14285714285715,35,27
SB,53.84615384615385,39,21
ET,38.297872340425535,47,18
SO,23.809523809523807,21,5
ZW,23.076923076923077,13,3
SA,85.71428571428571,35,30
ES,100,51,79
ER,50.0,4,2
ME,50.0,4,2
MD,100,2,3
MG,20.634920634920633,63,13
MF,50.0,2,1
MA,100,23,24
MC,0,1.0,
UZ,100,12,12
MM,45.23809523809524,42,19
ML,7.6923076923076925,13,1
MO,100,1,1
MN,59.09090909090909,22,13
MH,21.21212121212121,33,7
MK,100,2,2
MU,100,2,4
MT,100,1,3
MW,16.666666666666664,12,2
MV,80.0,10,8
MQ,100,1,1
MP,100,3,6
MS,100,1,1
MR,15.0,20,3
IM,0,1.0,
UG,16.666666666666664,12,2
TZ,44.827586206896555,29,13
MY,68.25396825396825,63,43
MX,100,100,106
IL,42.857142857142854,14,6
FR,56.00000000000001,150,84
IO,0,1.0,
SH,100,1,1
FI,69.6969696969697,33,23
FJ,41.935483870967744,31,13
FK,100,2,3
FM,80.0,5,4
FO,100,1,1
NI,10.0,10,1
NL,100,13,14
NO,100,55,57
NA,25.806451612903224,31,8
VU,71.875,32,23
NC,81.25,16,13
NE,14.285714285714285,7,1
NF,100,1,3
NG,81.48148148148148,27,22
NZ,67.21311475409836,61,41
NP,27.906976744186046,43,12
NR,100,1,3
NU,100,1,1
CK,88.88888888888889,9,8
XK,0,1.0,
CI,6.896551724137931,29,2
CH,100,13,15
CO,39.869281045751634,153,61
CN,82.75862068965517,232,192
CM,25.0,20,5
CL,100,49,53
CC,100,1,1
CA,54.42307692307692,520,283
CG,8.0,25,2
CF,4.0,25,1
CD,32.25806451612903,62,20
CZ,58.333333333333336,12,7
CY,100,5,5
CX,100,1,1
CR,36.666666666666664,30,11
CW,0,1.0,
CV,90.0,10,9
CU,55.88235294117647,34,19
SZ,50.0,2,1
SY,28.57142857142857,7,2
SX,0,1.0,
KG,100,2,2
KE,46.15384615384615,39,18
SS,0,5.0,
SR,21.428571428571427,14,3
KI,9.523809523809524,21,2
KH,18.75,16,3
KN,100,2,2
KM,20.0,5,1
ST,100,2,2
SK,75.0,8,6
KR,63.33333333333333,30,19
SI,100,3,3
KP,20.0,5,1
KW,100,1,3
SN,21.428571428571427,14,3
SL,10.0,10,1
SC,33.33333333333333,6,2
KZ,74.07407407407408,27,20
KY,100,3,3
SG,100,4,5
SE,97.95918367346938,49,48
SD,42.30769230769231,26,11
DO,100,13,22
DM,50.0,2,1
DJ,20.0,5,1
DK,70.0,20,14
VG,66.66666666666666,3,2
DE,85.84905660377359,106,91
YE,33.33333333333333,27,9
DZ,80.48780487804879,41,33
US,64.21343146274148,2174,1396
UY,50.0,14,7
YT,100,1,1
UM,0,4.0,
LB,100,2,3
LC,100,2,2
LA,33.33333333333333,24,8
TV,100,1,1
TW,61.904761904761905,21,13
TT,100,2,2
TR,96.92307692307692,65,63
LK,35.0,20,7
LV,60.0,5,3
TO,50.0,6,3
LT,83.33333333333334,6,5
LU,100,1,3
LR,14.285714285714285,14,2
LS,6.25,16,1
TH,92.85714285714286,42,39
TG,50.0,2,1
TD,6.25,16,1
TC,71.42857142857143,7,5
LY,68.42105263157895,19,13
VC,33.33333333333333,6,2
AE,100,12,15
VE,54.09836065573771,61,33
AG,50.0,2,1
AF,48.148148148148145,27,13
AI,100,1,1
VI,100,4,10
IS,26.31578947368421,38,10
IR,70.66666666666667,75,53
AM,100,2,2
AL,100,1,1
AO,42.5,40,17
AN,100,7,7
AQ,0,1.0,
AS,75.0,4,3
AR,53.21100917431193,109,58
AU,34.16252072968491,603,206
AT,100,8,16
AW,100,1,1
IN,62.22222222222222,135,84
AX,0,1.0,
AZ,57.14285714285714,7,4
IE,88.23529411764706,17,15
ID,44.11764705882353,204,90
UA,62.16216216216216,37,23
QA,100,3,6
MZ,31.25,32,10
